	norm1	norm2	conflict	majority_class	entailment_prob	contradiction_prob	neutral_prob	len_norm1	len_norm2
67	Customer will be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.	Customer will not be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.	True	contradiction	-1.3673211336135864	-0.3828220963478088	-2.760229587554932	22	23
72	Customer shall make arrangements through USF order department for any goods to be returned to USF.	Customer shall not make arrangements through USF order department for any goods to be returned to USF.	True	contradiction	-1.0959324836730957	-0.6445665955543518	-1.9598307609558103	16	17
73	Sponsor shall use best efforts to respond in writing to such Change Order promptly.	Sponsor must not use best efforts to respond in writing to such Change Order promptly.	True	contradiction	-3.110371828079224	-0.059788942337036126	-4.308605194091797	14	15
85	7UP/RC shall perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.	7UP/RC shall not perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.	True	contradiction	-3.6751904487609854	-0.053753137588500984	-3.6123127937316895	16	17
90	Purchaser shall assume title and risk of loss for Product ordered upon delivery of Product to transport.	Purchaser shall not assume title and risk of loss for Product ordered upon delivery of Product to transport.	True	contradiction	-1.5070579051971436	-0.4714365601539612	-1.8686356544494631	17	18
96	Upon receipt of debt owed, the Company will then release all Ingredients and Packaging Materials to the Customer.	Upon receipt of debt owed, the Company shall not then release all Ingredients and Packaging Materials to the Customer.	True	contradiction	-1.1082031726837158	-0.4978989958763122	-2.7799439430236816	18	19
97	Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.	Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.	True	contradiction	-0.8233429193496704	-0.7691184282302856	-2.326704978942871	16	17
100	Cardinal Health shall segregate and store all Product until acceptance as set forth in Section 5.1 above.	Cardinal Health shall not segregate and store all Product until acceptance as set forth in Section 5.1 above.	True	contradiction	-4.404928684234619	-0.03072810173034668	-4.014945983886719	17	18
101	"Ligand shall pay to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product."	"Ligand shall not to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product."	True	contradiction	-2.016955614089966	-0.25142407417297363	-2.4163410663604736	19	19
102	Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.	Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.	True	contradiction	-0.8233429193496704	-0.7691184282302856	-2.326704978942871	16	17
105	Notwithstanding the foregoing, Ligand shall remain responsible for the Firm Commitment portion of the Rolling Forecast.	Notwithstanding the foregoing, Ligand shall not remain responsible for the Firm Commitment portion of the Rolling Forecast.	True	contradiction	-2.1857740879058842	-0.4009677767753601	-1.5235462188720703	16	17
108	Hershey will cooperate in no shipping procedures.	Hershey will cooperate in all shipping procedures.	True	contradiction	-2.8832898139953613	-0.13468539714813232	-2.6584219932556152	7	7
113	CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.	CoPacker shall not assume all costs of transportation and handling both ways for such rejected Products.	True	contradiction	-4.449480056762695	-0.04369068145751953	-3.4716582298278813	15	16
125	Customer shall provide suitable and easily accessible space for installation of the Equipment within the premises.	It is not an obligation to Customer to provide suitable and easily accessible space for installation of the Equipament.	True	contradiction	-1.936439037322998	-0.3093469738960266	-2.1049051284790044	16	19
126	Supplier will provide documents, manuals, and visual aids to be utilized in the required training of Customer's employees in use of Equipment and Software purchased under this Agreement.	Suplier shall not provide anything to be utilized in the required training of employees from Customer during the use of Equipament and Software purchased.	True	contradiction	-1.207913875579834	-0.5793741345405579	-1.959483623504639	28	24
130	3.7 CONTRACT CANCELLATION CHARGES For the convenience of the Buyers, and if agreed to by AEI, Buyer may cancel the remaining orders under the following conditions: a.	In any possible case shall Buyer cancel the remaining orders.	True	contradiction	-4.8007097244262695	-0.03041720390319824	-3.828812837600708	27	10
131	Medica shall also maintain records with respect to its costs, obligations, and performance under this agreement.	With respect to its costs, obligations, and performance under this agreement, Medica is not obliged to maintain records.	True	contradiction	-2.2527458667755127	-0.22356355190277102	-2.351506233215332	16	18
137	(d) All alterations of and improvements to the Facility, including those necessary to cause the Facility to comply with the requirements of this Section 3.1, shall be the property of Sweetheart.	Improvements or alterations to the Facility will not be property of Sweetheart.	True	contradiction	-1.7774574756622314	-0.307561457157135	-2.346590995788574	31	12
141	Autotote will own the Intellectual Property Rights to all said prototypes.	Autotote shall not own the Intellectual Property Rights to prototypes.	True	contradiction	-3.1286065578460693	-0.060540437698364265	-4.20200252532959	11	10
146	Buyer will only delay shipment of a full container for reasons specified in Section 7.6 and 7.3 above.	Buyer shall not delay any shipment.	True	contradiction	-4.0329370498657235	-0.06181192398071289	-3.1649088859558105	18	6
149	AorTech will return materials to suppliers for credit, less restocking fees, when appropriate.	AorTech shall never return materials to suppliers.	True	contradiction	-5.788630485534668	-0.025803089141845703	-3.798208475112915	13	7
157	WWI shall have the right from time to time at its sole option to modify the formulations for the Products included as part of the Specifications.	WWI cannot change Products formulations.	True	contradiction	-2.630914688110352	-0.11210238933563232	-3.3803720474243164	26	5
161	7UP/RC shall process, test, label, store, and sell Products to Purchaser in accordance with the terms and conditions set out in this Agreement, during the term of this Agreement.	7UP/RC must not store Products.	True	contradiction	-5.655467987060548	-0.006260156631469727	-5.898937702178955	29	5
162	Purchaser shall be financially responsible for all outofdate Product and raw materials.	Purchaser shall not be responsible for out of date raw materials.	True	contradiction	-2.2177517414093018	-0.2502400875091553	-2.184513092041016	12	11
163	If such action by Apple will impact SCI's cost or delivery schedule, such cost or schedule will be equitably adjusted.	Costs and schedule will not be adjusted.	True	contradiction	-3.1347670555114746	-0.2959581613540649	-1.5480064153671265	20	7
165	SCI will also establish a process permitting Apple to purchase components and materials and procure outofwarranty repairs directly from such vendors.	During the contract, Apple must not purchase components.	True	contradiction	-3.8580124378204346	-0.030297517776489258	-4.740604877471924	21	8
169	Teknika will notify LSI that it considers that a Triggering Event has occurred.	Teknika shall not notify LSI of any regular event.	True	contradiction	-6.887686729431152	-0.005168914794921875	-5.488160133361816	13	9
176	Except as may be modified by this Section 2, the Company shall be obligated to register the Special Shares under the 1933 Act by reason of this Section 2.2 on two occasions only, provided such registration statements have become effective under the 1933 Act.	Company shall not register Special Shares.	True	contradiction	-3.844837665557861	-0.031856298446655266	-4.608739852905273	44	6
182	VA Research shall add Synnex as an additional insured under VA Research's product liability polices for any Products.	VA Research will add Synnex as an additional insured if VA Research's product liability policies for any Products.	True	contradiction	-3.924381732940674	-0.14775359630584714	-2.1404485702514653	18	18
185	Any material which Synnex deems necessary to purchase outside of Blanket Purchase Order coverage will be identified as such to VA Research and purchased only upon approval of VA Research in writing.	A Reseach shall not perform any approvements.	True	contradiction	-1.9380242824554443	-0.3147851824760437	-2.0709476470947266	32	7
207	Interest will be charged at the lower of [***]% per month or the highest rate permissible by law.	If no interest will be charged at the lower of [***]% per month and at the highest rate then it will be allowed by law.	True	contradiction	-4.266029357910156	-0.21275389194488525	-1.7281798124313354	18	25
